"decimallongitude","decimallatitude"
148.004276,44.872679
176.919,-39.4749
174.753,-36.8389
134.904,34.3427
147.334,-43.059
130.45,33.8
136.75,34.28333333
140.924,38.0138
120.397409,35.972667
129.75,33.06666667
140.85,43.21666667
173.702,-42.4129
174.835,-41.2977
171.26,-44.3894
173.282,-41.2602
131.509,33.289
133.19,34.3988
140.792,36.8541
139.55,38.56666667
138.56667,38.05
134.6,35.63333333
143.6763889,-38.75833333
128.9901,37.73472
-121.891,36.6041
170.628,-45.7992
-119.225,34.1655
140.6,41.76666667
-118.283,33.7133
-116.785,31.8012
144.906,-37.8605
-66.5264,-45.1752
129.206,35.1784
172.779,-43.5801
-64.8326,-42.8344
178.021,-38.6749
122.119,29.9051
141.6333333,45.43333333
126.382,34.413
148.2833333,-41.86666667
133.005275,36.108983
140.042,35.5971
126.729,37.0656
126.946,33.4608
127.7166667,34.61666667
138.9333333,34.66666667
168.131,-46.8987
137.3833333,36.81666667
